timestamp,alert_id,rule_name,metric,value,threshold,severity,service,host,tower,status,duration_min
2024-01-01 00:15:21.614573,ALT-006585,LowNetworkThroughput,net_in_mbps,21.67,10,P1 Critical,api-gateway,host-028,Network,firing,221
2024-01-01 00:27:03.184982,ALT-018291,HighLatency,latency_ms,1209.5,1000,P3 Medium,cache-cluster,host-036,Application,resolved,167
2024-01-01 00:47:05.803347,ALT-005724,DBConnectionPool,connection_pct,212.12,80,P1 Critical,cache-cluster,host-034,Database,firing,35
2024-01-01 01:04:17.674995,ALT-013289,LowNetworkThroughput,net_in_mbps,12.67,10,P3 Medium,order-service,host-025,Network,firing,213
2024-01-01 01:11:21.037091,ALT-006105,LowRequestRate,request_rate,19.04,10,P1 Critical,reporting-service,host-010,Application,firing,163
2024-01-01 01:21:38.454870,ALT-016972,HighLatency,latency_ms,1386.67,1000,P3 Medium,cache-cluster,host-001,Application,firing,130
2024-01-01 01:37:18.859861,ALT-006368,PodCrashLoop,restart_count,5.99,3,P1 Critical,payment-gateway,host-017,Cloud,firing,139
2024-01-01 01:42:00.114381,ALT-001437,DBConnectionPool,connection_pct,90.45,80,P3 Medium,analytics-engine,host-025,Database,firing,15
2024-01-01 01:42:56.317991,ALT-010908,HighCPU,cpu_util,124.38,80,P2 High,inventory-api,host-012,Compute,firing,148
2024-01-01 02:23:37.890319,ALT-011761,NetworkPacketLoss,packet_loss_pct,5.69,5,P3 Medium,payment-gateway,host-032,Network,firing,239
2024-01-01 02:28:43.290490,ALT-008135,DiskFull,disk_util,242.15,90,P1 Critical,payment-gateway,host-011,Storage,resolved,137
2024-01-01 02:38:09.206740,ALT-013812,HighCPU,cpu_util,92.87,80,P3 Medium,inventory-api,host-045,Compute,firing,116
2024-01-01 02:56:10.878767,ALT-012865,HighMemory,memory_util,102.92,85,P3 Medium,reporting-service,host-031,Compute,resolved,63
2024-01-01 03:05:30.110682,ALT-012089,HighGCPause,gc_pause_ms,800.91,500,P2 High,message-broker,host-023,Application,resolved,219
2024-01-01 03:16:53.801845,ALT-014699,HighLatency,latency_ms,2537.03,1000,P1 Critical,analytics-engine,host-025,Application,firing,209
2024-01-01 03:25:44.103074,ALT-008536,HighGCPause,gc_pause_ms,962.71,500,P1 Critical,cache-cluster,host-048,Application,resolved,195
2024-01-01 04:11:44.480122,ALT-019065,LowNetworkThroughput,net_in_mbps,10.82,10,P4 Low,cache-cluster,host-017,Network,firing,240
2024-01-01 04:21:58.169726,ALT-011084,DBConnectionPool,connection_pct,209.0,80,P1 Critical,reporting-service,host-001,Database,firing,89
2024-01-01 05:10:31.343717,ALT-001039,CloudQuotaExhausted,quota_pct,100.39,90,P3 Medium,inventory-api,host-001,Cloud,firing,64
2024-01-01 05:33:05.395629,ALT-011492,DBConnectionPool,connection_pct,155.13,80,P1 Critical,reporting-service,host-044,Database,firing,63
2024-01-01 05:35:50.024075,ALT-010875,HighMemory,memory_util,130.45,85,P2 High,cache-cluster,host-013,Compute,firing,149
2024-01-01 05:51:20.046317,ALT-010053,DBConnectionPool,connection_pct,75.56,80,P4 Low,api-gateway,host-038,Database,firing,159
2024-01-01 06:10:53.811294,ALT-014935,LowNetworkThroughput,net_in_mbps,16.0,10,P2 High,auth-service,host-011,Network,firing,37
2024-01-01 06:27:02.053139,ALT-019772,CloudQuotaExhausted,quota_pct,90.32,90,P4 Low,cache-cluster,host-015,Cloud,resolved,129
2024-01-01 06:48:37.947402,ALT-000457,PodCrashLoop,restart_count,3.13,3,P4 Low,notification-service,host-003,Cloud,resolved,130
2024-01-01 06:51:37.103025,ALT-000469,HighGCPause,gc_pause_ms,598.29,500,P3 Medium,order-service,host-017,Application,firing,110
2024-01-01 06:58:22.904723,ALT-010197,LowNetworkThroughput,net_in_mbps,13.77,10,P3 Medium,api-gateway,host-031,Network,resolved,81
2024-01-01 06:59:40.368846,ALT-008229,PodCrashLoop,restart_count,4.68,3,P2 High,notification-service,host-014,Cloud,firing,7
2024-01-01 07:13:30.180866,ALT-008046,DBConnectionPool,connection_pct,100.19,80,P3 Medium,analytics-engine,host-020,Database,firing,86
2024-01-01 07:49:27.887627,ALT-008834,DiskFull,disk_util,178.37,90,P1 Critical,cache-cluster,host-023,Storage,resolved,138
2024-01-01 07:52:10.962061,ALT-003846,PodCrashLoop,restart_count,2.8,3,P4 Low,notification-service,host-005,Cloud,firing,32
2024-01-01 07:52:35.051974,ALT-004422,CloudQuotaExhausted,quota_pct,115.87,90,P3 Medium,payment-gateway,host-007,Cloud,firing,15
2024-01-01 07:58:24.007245,ALT-006456,PodCrashLoop,restart_count,3.27,3,P4 Low,order-service,host-020,Cloud,firing,126
2024-01-01 08:26:10.702395,ALT-001839,CloudQuotaExhausted,quota_pct,148.34,90,P2 High,cache-cluster,host-007,Cloud,resolved,175
2024-01-01 08:47:32.514354,ALT-007222,HighMemory,memory_util,105.37,85,P3 Medium,auth-service,host-039,Compute,firing,233
2024-01-01 08:49:12.092233,ALT-008996,PodCrashLoop,restart_count,3.84,3,P3 Medium,api-gateway,host-017,Cloud,firing,161
2024-01-01 09:08:05.634169,ALT-000249,HighMemory,memory_util,157.31,85,P1 Critical,cache-cluster,host-034,Compute,firing,9
2024-01-01 09:30:24.414838,ALT-000222,HighGCPause,gc_pause_ms,504.75,500,P4 Low,reporting-service,host-031,Application,resolved,195
2024-01-01 09:40:07.080318,ALT-009411,PodCrashLoop,restart_count,4.44,3,P2 High,inventory-api,host-013,Cloud,resolved,131
2024-01-01 09:41:18.672228,ALT-009385,LowRequestRate,request_rate,13.61,10,P3 Medium,api-gateway,host-007,Application,resolved,142
2024-01-01 10:01:38.939409,ALT-015531,NetworkPacketLoss,packet_loss_pct,7.54,5,P2 High,auth-service,host-026,Network,resolved,74
2024-01-01 10:21:06.629202,ALT-009827,PodCrashLoop,restart_count,3.96,3,P3 Medium,message-broker,host-023,Cloud,firing,108
2024-01-01 10:35:51.428374,ALT-008451,NetworkPacketLoss,packet_loss_pct,9.5,5,P1 Critical,analytics-engine,host-027,Network,resolved,46
2024-01-01 10:41:48.686060,ALT-008069,LowRequestRate,request_rate,12.38,10,P3 Medium,cache-cluster,host-012,Application,firing,110
2024-01-01 11:03:39.138645,ALT-009284,HighErrorRate,error_rate,7.31,5,P2 High,api-gateway,host-013,Application,firing,20
2024-01-01 11:04:25.311592,ALT-002310,DiskFull,disk_util,179.8,90,P1 Critical,analytics-engine,host-036,Storage,firing,140
2024-01-01 11:14:05.895493,ALT-010509,LowRequestRate,request_rate,9.9,10,P4 Low,payment-gateway,host-034,Application,firing,132
2024-01-01 11:28:29.443693,ALT-012864,CloudQuotaExhausted,quota_pct,93.36,90,P4 Low,reporting-service,host-043,Cloud,firing,204
2024-01-01 11:41:15.075125,ALT-004780,HighErrorRate,error_rate,9.43,5,P1 Critical,notification-service,host-035,Application,firing,30
2024-01-01 11:46:29.597863,ALT-009402,PodCrashLoop,restart_count,5.73,3,P1 Critical,inventory-api,host-047,Cloud,resolved,19
2024-01-01 11:49:01.974134,ALT-003840,DBConnectionPool,connection_pct,77.95,80,P4 Low,cache-cluster,host-027,Database,resolved,159
2024-01-01 12:32:39.528458,ALT-001140,PodCrashLoop,restart_count,2.83,3,P4 Low,reporting-service,host-016,Cloud,firing,1
2024-01-01 13:04:50.408858,ALT-019023,NetworkPacketLoss,packet_loss_pct,9.4,5,P1 Critical,inventory-api,host-031,Network,firing,47
2024-01-01 13:15:41.766745,ALT-007960,PodCrashLoop,restart_count,7.24,3,P1 Critical,notification-service,host-019,Cloud,firing,164
2024-01-01 13:45:47.283168,ALT-005673,LowNetworkThroughput,net_in_mbps,11.12,10,P3 Medium,auth-service,host-002,Network,resolved,208
2024-01-01 14:07:18.244308,ALT-011338,HighMemory,memory_util,121.2,85,P2 High,inventory-api,host-044,Compute,firing,69
2024-01-01 14:17:52.180848,ALT-007760,PodCrashLoop,restart_count,3.54,3,P3 Medium,payment-gateway,host-044,Cloud,firing,140
2024-01-01 14:56:04.286671,ALT-008012,DBConnectionPool,connection_pct,79.94,80,P4 Low,cache-cluster,host-028,Database,resolved,222
2024-01-01 14:56:42.018654,ALT-016278,LowRequestRate,request_rate,14.55,10,P2 High,order-service,host-047,Application,firing,146
2024-01-01 14:58:47.220177,ALT-005511,DBConnectionPool,connection_pct,193.38,80,P1 Critical,cache-cluster,host-042,Database,firing,231
2024-01-01 15:14:53.523915,ALT-017260,HighLatency,latency_ms,1250.94,1000,P3 Medium,message-broker,host-026,Application,firing,44
2024-01-01 15:37:25.851501,ALT-005962,LowRequestRate,request_rate,9.92,10,P4 Low,auth-service,host-008,Application,resolved,158
2024-01-01 15:45:38.400767,ALT-017211,LowRequestRate,request_rate,16.03,10,P2 High,api-gateway,host-022,Application,firing,207
2024-01-01 16:13:17.859177,ALT-006499,HighMemory,memory_util,105.79,85,P3 Medium,order-service,host-043,Compute,firing,221
2024-01-01 16:16:35.981038,ALT-001123,HighCPU,cpu_util,95.58,80,P3 Medium,notification-service,host-020,Compute,firing,97
2024-01-01 16:21:43.710216,ALT-016620,NetworkPacketLoss,packet_loss_pct,5.91,5,P3 Medium,notification-service,host-002,Network,firing,104
2024-01-01 16:43:20.036843,ALT-002958,LowNetworkThroughput,net_in_mbps,11.26,10,P3 Medium,payment-gateway,host-029,Network,firing,23
2024-01-01 16:57:49.541010,ALT-009415,HighGCPause,gc_pause_ms,1188.95,500,P1 Critical,inventory-api,host-032,Application,firing,224
2024-01-01 17:01:54.059516,ALT-000040,CloudQuotaExhausted,quota_pct,112.1,90,P3 Medium,analytics-engine,host-022,Cloud,resolved,41
2024-01-01 17:14:51.978088,ALT-002790,NetworkPacketLoss,packet_loss_pct,7.98,5,P2 High,inventory-api,host-013,Network,firing,198
2024-01-01 17:33:35.061167,ALT-003478,LowRequestRate,request_rate,19.43,10,P1 Critical,order-service,host-017,Application,resolved,109
2024-01-01 17:44:32.409398,ALT-008210,HighLatency,latency_ms,1258.34,1000,P3 Medium,analytics-engine,host-046,Application,firing,127
2024-01-01 17:49:49.927018,ALT-002624,HighErrorRate,error_rate,8.15,5,P2 High,auth-service,host-028,Application,firing,225
2024-01-01 18:15:04.322446,ALT-001325,HighGCPause,gc_pause_ms,763.02,500,P2 High,auth-service,host-012,Application,resolved,194
2024-01-01 18:24:13.195675,ALT-000967,CloudQuotaExhausted,quota_pct,127.04,90,P2 High,analytics-engine,host-013,Cloud,resolved,71
2024-01-01 18:52:38.583714,ALT-009772,DiskFull,disk_util,203.74,90,P1 Critical,analytics-engine,host-014,Storage,firing,196
2024-01-01 18:59:03.439371,ALT-015479,HighGCPause,gc_pause_ms,947.32,500,P1 Critical,cache-cluster,host-012,Application,firing,30
2024-01-01 19:06:50.625914,ALT-005108,PodCrashLoop,restart_count,2.88,3,P4 Low,message-broker,host-037,Cloud,resolved,204
2024-01-01 19:17:18.014331,ALT-011889,DiskFull,disk_util,122.08,90,P3 Medium,auth-service,host-047,Storage,resolved,204
