incident_id,start_time,end_time,duration_min,severity,tower,service,host,root_cause,status,alert_volume,error_count,warn_count,info_count,cpu_util_peak,memory_util_peak,disk_util_peak,latency_max_ms,impacted_services
INC-000147,2024-01-01 00:05:31.646248,2024-01-01 01:25:31.646248,80,P3 Medium,Application,notification-service,host-031,Database Failure,investigating,10,78,519,3765,40.0,35.0,32.3,18211.0,1
INC-002114,2024-01-01 01:19:41.431899,2024-01-01 03:21:41.431899,122,P1 Critical,Compute,order-service,host-048,Disk Failure,investigating,6,1178,309,4088,16.0,18.0,84.7,414.0,3
INC-003724,2024-01-01 01:35:46.848242,2024-01-01 08:23:46.848242,408,P1 Critical,Cloud,reporting-service,host-036,CPU Saturation,mitigated,6,1987,450,1065,63.2,13.7,35.1,325.0,8
INC-000608,2024-01-01 01:57:12.334012,2024-01-01 03:39:12.334012,102,P3 Medium,Storage,auth-service,host-021,Network Failure,resolved,2,56,243,2476,12.5,15.2,16.4,10056.0,2
INC-001105,2024-01-01 03:50:19.329637,2024-01-01 05:09:19.329637,79,P2 High,Compute,payment-gateway,host-047,CPU Saturation,resolved,2,4244,41,1314,81.0,42.2,36.5,539.0,8
INC-000209,2024-01-01 04:15:42.788936,2024-01-01 05:48:42.788936,93,P2 High,Compute,api-gateway,host-014,Memory Leak,resolved,23,2039,787,4752,53.2,70.6,25.3,728.0,6
INC-001821,2024-01-01 04:49:17.620390,2024-01-01 06:06:17.620390,77,P3 Medium,Network,order-service,host-043,Network Failure,resolved,8,34,102,2445,21.8,57.9,46.0,14378.0,7
INC-004925,2024-01-01 06:29:21.511769,2024-01-01 07:15:21.511769,46,P4 Low,Network,notification-service,host-026,Memory Leak,resolved,6,19,968,4613,42.0,82.5,51.8,171.0,7
INC-003126,2024-01-01 08:34:27.478332,2024-01-01 09:08:27.478332,34,P3 Medium,Database,api-gateway,host-007,Database Failure,resolved,10,8,108,2179,25.7,59.8,52.4,19389.0,1
INC-004883,2024-01-01 08:44:59.346126,2024-01-01 09:47:59.346126,63,P3 Medium,Cloud,analytics-engine,host-003,Cloud Resource Exhaustion,resolved,2,54,326,2728,97.0,58.6,22.0,263.0,2
INC-001490,2024-01-01 08:55:31.527073,2024-01-01 10:27:31.527073,92,P3 Medium,Compute,message-broker,host-007,Memory Leak,resolved,9,27,387,300,43.7,78.4,41.6,949.0,3
INC-003259,2024-01-01 09:51:21.968360,2024-01-01 11:39:21.968360,108,P3 Medium,Storage,auth-service,host-047,Disk Failure,resolved,4,22,52,301,53.7,12.8,92.6,389.0,5
INC-002950,2024-01-01 11:26:23.822510,2024-01-01 11:47:23.822510,21,P3 Medium,Cloud,message-broker,host-027,Cloud Resource Exhaustion,resolved,6,63,310,1019,81.0,31.6,30.3,506.0,2
INC-002980,2024-01-01 12:13:49.595317,2024-01-01 13:47:49.595317,94,P2 High,Network,cache-cluster,host-034,Memory Leak,resolved,15,3942,147,3757,29.4,88.5,67.1,295.0,4
INC-000249,2024-01-01 12:20:14.074902,2024-01-01 14:04:14.074902,104,P3 Medium,Network,message-broker,host-021,CPU Saturation,resolved,6,87,883,2550,71.0,58.2,54.4,572.0,7
INC-003776,2024-01-01 13:20:52.388674,2024-01-01 13:38:52.388674,18,P3 Medium,Application,payment-gateway,host-004,Database Failure,resolved,1,16,229,214,38.0,10.5,65.9,8961.0,1
INC-003281,2024-01-01 15:17:20.158111,2024-01-01 16:06:20.158111,49,P4 Low,Cloud,auth-service,host-044,Cloud Resource Exhaustion,resolved,6,100,848,3226,83.3,59.3,55.1,918.0,6
INC-002794,2024-01-01 15:20:01.887101,2024-01-01 16:20:01.887101,60,P2 High,Database,message-broker,host-029,Database Failure,mitigated,46,2626,922,2176,17.7,14.6,64.0,16646.0,7
INC-001598,2024-01-01 15:51:07.224693,2024-01-01 19:09:07.224693,198,P2 High,Compute,reporting-service,host-032,Disk Failure,resolved,47,4887,581,2114,14.6,51.9,88.5,348.0,7
INC-003340,2024-01-01 16:55:22.940588,2024-01-01 17:17:22.940588,22,P3 Medium,Cloud,notification-service,host-005,Cloud Resource Exhaustion,mitigated,3,32,224,2274,89.1,19.9,29.4,202.0,1
INC-004766,2024-01-01 17:08:34.528858,2024-01-01 18:04:34.528858,56,P4 Low,Cloud,order-service,host-045,Network Failure,mitigated,3,72,349,3790,27.3,14.7,36.6,7591.0,8
