incident_id,root_cause,confidence,contributing_factors,remediation,detection_lag_min,rca_created_at,analyst
INC-000147,Database Failure,0.84,disk I/O saturation; query overload,Restart DB service; check replication lag; restore from backup if needed,10,2024-01-01 02:28:31.646248,on-call-eng
INC-002114,Disk Failure,0.67,bad sectors; filesystem corruption,Replace faulty disk; restore RAID; check smart data,23,2024-01-01 03:41:41.431899,auto-ml
INC-003724,CPU Saturation,0.71,GC thrashing; thread contention,Scale out horizontally; throttle batch jobs; identify runaway processes,17,2024-01-01 10:11:46.848242,on-call-eng
INC-000608,Network Failure,0.8,BGP flap; MTU mismatch,Check BGP routes; inspect switch logs; failover to backup link,25,2024-01-01 05:30:12.334012,on-call-eng
INC-001105,CPU Saturation,0.74,GC thrashing; thread contention,Scale out horizontally; throttle batch jobs; identify runaway processes,23,2024-01-01 05:23:19.329637,on-call-eng
INC-000209,Memory Leak,0.94,finalizer queue buildup; unbounded cache growth,Rolling restart of affected pods; increase heap limits; profile GC,26,2024-01-01 07:46:42.788936,sre-team
INC-001821,Network Failure,0.68,BGP flap; link congestion,Check BGP routes; inspect switch logs; failover to backup link,4,2024-01-01 07:10:17.620390,on-call-eng
INC-004925,Memory Leak,0.77,object retention; unbounded cache growth,Rolling restart of affected pods; increase heap limits; profile GC,22,2024-01-01 08:20:21.511769,on-call-eng
INC-003126,Database Failure,0.93,replication lag; deadlock cascade,Restart DB service; check replication lag; restore from backup if needed,29,2024-01-01 09:54:27.478332,on-call-eng
INC-004883,Cloud Resource Exhaustion,0.67,vCPU quota hit; IP exhaustion,Request quota increase; release idle resources; enable auto-scaling,10,2024-01-01 10:06:59.346126,on-call-eng
INC-001490,Memory Leak,0.97,finalizer queue buildup; object retention,Rolling restart of affected pods; increase heap limits; profile GC,12,2024-01-01 12:08:31.527073,auto-ml
INC-003259,Disk Failure,0.7,bad sectors; filesystem corruption,Replace faulty disk; restore RAID; check smart data,17,2024-01-01 12:29:21.968360,on-call-eng
INC-002950,Cloud Resource Exhaustion,0.75,vCPU quota hit; IP exhaustion,Request quota increase; release idle resources; enable auto-scaling,11,2024-01-01 12:36:23.822510,sre-team
INC-002980,Memory Leak,0.86,finalizer queue buildup; unbounded cache growth,Rolling restart of affected pods; increase heap limits; profile GC,16,2024-01-01 14:18:49.595317,sre-team
INC-000249,CPU Saturation,0.86,GC thrashing; thread contention,Scale out horizontally; throttle batch jobs; identify runaway processes,24,2024-01-01 15:21:14.074902,on-call-eng
INC-003776,Database Failure,0.95,disk I/O saturation; query overload,Restart DB service; check replication lag; restore from backup if needed,14,2024-01-01 14:11:52.388674,sre-team
INC-003281,Cloud Resource Exhaustion,0.86,subnet capacity; IP exhaustion,Request quota increase; release idle resources; enable auto-scaling,24,2024-01-01 17:44:20.158111,auto-ml
INC-002794,Database Failure,0.85,query overload; deadlock cascade,Restart DB service; check replication lag; restore from backup if needed,12,2024-01-01 17:11:01.887101,sre-team
INC-001598,Disk Failure,0.82,bad sectors; RAID degradation,Replace faulty disk; restore RAID; check smart data,26,2024-01-01 20:35:07.224693,sre-team
INC-003340,Cloud Resource Exhaustion,0.89,vCPU quota hit; subnet capacity,Request quota increase; release idle resources; enable auto-scaling,8,2024-01-01 18:36:22.940588,sre-team
INC-004766,Network Failure,0.69,MTU mismatch; packet loss,Check BGP routes; inspect switch logs; failover to backup link,21,2024-01-01 18:09:34.528858,on-call-eng
